,geoid,zip,borough,rent_burden_total_renter_households,rent_lt_10pct_income,rent_10_to_14_9pct_income,rent_15_to_19_9pct_income,rent_20_to_24_9pct_income,rent_25_to_29_9pct_income,rent_30_to_34_9pct_income,rent_35_to_39_9pct_income,rent_40_to_49_9pct_income,rent_50pct_or_more_income,rent_not_computed,housing_units_total,median_gross_rent,median_household_income,occupancy_total_units,occupied_units,vacant_units,tenure_total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,year_built_total_units,built_2020_or_later,built_2010_2019,built_2000_2009,built_1990_1999,built_1980_1989,built_1970_1979,built_1960_1969,built_1950_1959,built_1940_1949,built_1939_or_earlier
31,86000US10001,10001,Manhattan,11939.0,917.0,1502.0,1801.0,1484.0,1181.0,1074.0,546.0,892.0,2137.0,405.0,18356.0,3361.0,129852.0,18356.0,15737.0,2619.0,15737.0,3798.0,11939.0,30511.0,18356.0,280.0,5049.0,2404.0,296.0,590.0,423.0,3290.0,553.0,508.0,4963.0
32,86000US10002,10002,Manhattan,29732.0,1688.0,2438.0,2857.0,3466.0,3197.0,3752.0,1338.0,2076.0,7758.0,1162.0,40696.0,1229.0,48386.0,40696.0,36556.0,4140.0,36556.0,6824.0,29732.0,76873.0,40696.0,403.0,1940.0,1590.0,1313.0,2373.0,3566.0,4822.0,6003.0,2838.0,15848.0
33,86000US10003,10003,Manhattan,15410.0,1031.0,2255.0,1722.0,1455.0,1355.0,1147.0,1171.0,1148.0,3480.0,646.0,30413.0,3049.0,154262.0,30413.0,24503.0,5910.0,24503.0,9093.0,15410.0,53560.0,30413.0,50.0,683.0,989.0,558.0,1555.0,1560.0,4611.0,2456.0,1425.0,16526.0
34,86000US10004,10004,Manhattan,1060.0,21.0,119.0,255.0,84.0,39.0,128.0,72.0,136.0,206.0,0.0,2247.0,3501.0,250001.0,2247.0,1865.0,382.0,1865.0,805.0,1060.0,3711.0,2247.0,0.0,221.0,421.0,44.0,115.0,18.0,33.0,5.0,6.0,1384.0
35,86000US10005,10005,Manhattan,4323.0,77.0,515.0,461.0,664.0,559.0,364.0,188.0,331.0,1164.0,0.0,6606.0,3501.0,190233.0,6606.0,5248.0,1358.0,5248.0,925.0,4323.0,9439.0,6606.0,0.0,161.0,841.0,601.0,125.0,515.0,393.0,339.0,218.0,3413.0
36,86000US10006,10006,Manhattan,1812.0,3.0,332.0,216.0,315.0,205.0,117.0,67.0,105.0,452.0,0.0,2485.0,3501.0,190170.0,2485.0,2149.0,336.0,2149.0,337.0,1812.0,4096.0,2485.0,0.0,224.0,76.0,26.0,42.0,26.0,22.0,126.0,56.0,1887.0
37,86000US10007,10007,Manhattan,2326.0,467.0,316.0,373.0,250.0,116.0,230.0,101.0,120.0,341.0,12.0,3870.0,3501.0,250001.0,3870.0,3344.0,526.0,3344.0,1018.0,2326.0,7406.0,3870.0,13.0,268.0,1352.0,385.0,521.0,61.0,62.0,124.0,0.0,1084.0
38,86000US10009,10009,Manhattan,26954.0,1966.0,2524.0,3739.0,3279.0,2839.0,2282.0,1643.0,1768.0,5275.0,1639.0,32252.0,2006.0,92876.0,32252.0,30082.0,2170.0,30082.0,3128.0,26954.0,60209.0,32252.0,21.0,1562.0,1177.0,958.0,1331.0,1602.0,3300.0,2430.0,8701.0,11170.0
39,86000US10010,10010,Manhattan,11276.0,994.0,1279.0,1399.0,1519.0,978.0,1183.0,484.0,658.0,2470.0,312.0,19060.0,3326.0,144969.0,19060.0,15632.0,3428.0,15632.0,4356.0,11276.0,30702.0,19060.0,0.0,1145.0,1085.0,320.0,1065.0,2786.0,2466.0,1079.0,2592.0,6522.0
40,86000US10011,10011,Manhattan,17822.0,1260.0,1975.0,2228.0,2572.0,1613.0,1570.0,947.0,1620.0,3446.0,591.0,34845.0,3050.0,145987.0,34845.0,27802.0,7043.0,27802.0,9980.0,17822.0,48277.0,34845.0,99.0,1824.0,3109.0,1045.0,965.0,1751.0,4815.0,2004.0,992.0,18241.0
