ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT,Borough,STREET2 STSUFX2,Unnamed: 6
11001,87-15 TO 87-45,LITTLE NECK,PKWY,87248748.0,256TH,ST,FLORAL PARK,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,8823.0,26,Queens,,
11004,75-01 TO 75-99,254TH,ST,73017599.0,255TH,ST,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8443.0,1,Queens,,
11004,73-21,260TH,ST,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446.0,1,Queens,,
11004,73-35,260TH,ST,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446.0,1,Queens,,
11004,82-07 TO 82-63,268TH,ST,81078139.0,268TH,ST,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8762.0,1,Queens,,
11004,260-03,74TH,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446.0,1,Queens,,
11004,263-21,74TH,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8450.0,1,Queens,,
11004,259-10,HILLSIDE,AVE,,,,FLORAL PARK,63 MULTIPLE DWELLING A,,,8789.0,31,Queens,,
11004,260-17,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8443.0,1,Queens,,
11004,260-31,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,8443.0,1,Queens,,
11004,264-20,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8450.0,1,Queens,,
11004,72-75,LITTLE NECK,PKWY,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8442.0,1,Queens,,
11004,73-25,LITTLE NECK,PKWY,,,,GLEN OAKS,63 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,8440.0,1,Queens,,
11005,269-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,421-A (1-15),COOP/CONDO PLAN FILE,8489.0,1,Queens,,
11005,270-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,,,8489.0,1,Queens,,
11005,271-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,421-A (1-15),COOP/CONDO PLAN FILE,8489.0,1,Queens,,
11101,44-72 TO 44-80,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),51.0,20,Queens,,
11101,46-09,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),55.0,20,Queens,,
11101,47-02,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,46.0,130,Queens,,
11101,47-38,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,45.0,25,Queens,,
11101,44-44,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,447.0,1,Queens,,
11101,44-73,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,78.0,2,Queens,,
11101,44-74,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING B,,,52.0,1,Queens,,
11101,45-05,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,77.0,57,Queens,,
11101,49-02,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,62.0,30,Queens,,
11101,41-15,23RD,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),413.0,16,Queens,,
11101,39-23,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395.0,14,Queens,,
11101,39-25,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395.0,12,Queens,,
11101,39-31,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395.0,10,Queens,,
11101,39-44,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,394.0,42,Queens,,
11101,41-21,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),414.0,121,Queens,,
11101,41-22,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,413.0,32,Queens,,
11101,41-29,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),414.0,117,Queens,,
11101,41-42,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,413.0,2,Queens,,
11101,42-20,24TH,ST,2301.0,42ND,RD,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,425.0,1,Queens,,
11101,37-15,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,369.0,7,Queens,,
11101,38-10,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,387.0,22,Queens,,
11101,39-05,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,397.0,13,Queens,,
11101,39-46,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,396.0,37,Queens,,
11101,41-32,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,415.0,36,Queens,,
11101,42-10,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,423.0,25,Queens,,
11101,42-16 TO 42-26,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),423.0,29,Queens,,
11101,42-43,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,431.0,7502,Queens,,
11101,37-33,28TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,370.0,1,Queens,,
11101,41-21,28TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,417.0,3,Queens,,
11101,42-12,28TH,ST,4215.0,27TH,ST,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),422.0,7,Queens,,
11101,37-34,29TH,ST,,,,ASTORIA,63 MULTIPLE DWELLING A,421-A (1-15),,370.0,7501,Queens,,
11101,38-06 TO 38-08,29TH,ST,,,,ASTORIA,63 MULTIPLE DWELLING A,,,385.0,17,Queens,,
11101,38-14,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,385.0,20,Queens,,
11101,38-32,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,385.0,28,Queens,,
11101,38-38,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,385.0,30,Queens,,
11101,39-04,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,398.0,7501,Queens,,
11101,39-21,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,399.0,12,Queens,,
11101,39-25,29TH,ST,,,,ASTORIA,63 MULTIPLE DWELLING A,,,399.0,10,Queens,,
11101,41-18,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,417.0,28,Queens,,
11101,41-20,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,417.0,30,Queens,,
11101,41-24,29TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,417.0,32,Queens,,
11101,56-15 TO 56-27,2ND,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,ARTICLE 11,,6.0,7503,Queens,,
11101,37-05,30TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,372.0,7501,Queens,,
11101,38-11 TO 38-19,31ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,382.0,7502,Queens,,
11101,37-14,32ND,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,373.0,12,Queens,,
11101,38-12,32ND,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,382.0,21,Queens,,
11101,37-25,33RD,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,375.0,1,Queens,,
11101,37-11,34TH,AVE,,,,ASTORIA,63 MULTIPLE DWELLING A,,,655.0,74,Queens,,
11101,37-17,34TH,AVE,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,655.0,72,Queens,,
11101,41-06,34TH,AVE,,,,ASTORIA,63 MULTIPLE DWELLING A,,,674.0,17,Queens,,
11101,41-16,34TH,AVE,3402.0,42ND,ST,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,674.0,18,Queens,,
11101,42-07,34TH,AVE,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,690.0,5,Queens,,
11101,42-15,34TH,AVE,,,,ASTORIA,63 MULTIPLE DWELLING A,,,690.0,1,Queens,,
11101,43-01,34TH,AVE,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,691.0,8,Queens,,
