zipcode,total_units,stabilized_units,stabilized_buildings,total_buildings,stabilization_share
10001,22303.0,12310.0,127,356,0.5519436847060933
10002,36840.0,14431.0,601,1180,0.3917209554831705
10003,33576.0,18652.0,602,1479,0.5555158446509412
10004,4492.0,1248.0,5,37,0.2778272484416741
10005,6871.0,2923.0,8,25,0.4254111483044681
10006,3585.0,2054.0,10,25,0.5729428172942818
10007,4919.0,2020.0,23,144,0.4106525716609067
10009,34333.0,20344.0,535,1102,0.5925494422275944
10010,20251.0,10951.0,161,378,0.5407634190904153
10011,34405.0,2568.0,52,1671,0.07464031390786223
10012,15639.0,0.0,0,928,0.0
10013,16236.0,0.0,0,1103,0.0
10014,23107.0,0.0,0,1662,0.0
10016,41045.0,16.0,1,960,0.0003898160555487879
10017,15193.0,0.0,0,193,0.0
10018,9856.0,14.0,1,152,0.0014204545454545455
10019,36503.0,76.0,4,672,0.0020820206558365066
10020,445.0,0.0,0,1,0.0
10021,30800.0,261.0,3,1030,0.008474025974025974
10022,28367.0,233.0,2,708,0.008213769520922199
10023,44073.0,272.0,1,1133,0.006171578971252241
10024,35763.0,0.0,0,1611,0.0
10025,49416.0,0.0,0,1367,0.0
10026,15447.0,0.0,0,874,0.0
10027,30344.0,88.0,2,1749,0.0029000790930661744
10028,31012.0,811.0,7,1068,0.02615116729008126
10029,36366.0,8519.0,332,1141,0.23425727327723697
10030,13836.0,6395.0,310,972,0.46220005782017926
10031,22381.0,15218.0,550,1435,0.6799517447835217
10032,22587.0,17614.0,511,840,0.779829105237526
10033,20284.0,14904.0,387,583,0.734766318280418
10034,17503.0,13278.0,293,368,0.7586128092327029
10035,18289.0,8157.0,307,974,0.44600579583356115
10036,21272.0,11785.0,264,564,0.5540146671681083
10037,11155.0,7589.0,120,277,0.6803227252353204
10038,16374.0,4103.0,51,189,0.25058018810309024
10039,11824.0,4888.0,174,232,0.4133964817320704
10040,16794.0,11459.0,242,338,0.6823270215553173
10044,12308.0,558.0,2,14,0.04533636659083523
10065,22721.0,13070.0,228,851,0.5752387658993883
10069,4221.0,1403.0,4,13,0.33238569059464584
10075,17837.0,9508.0,221,594,0.5330492795873746
10103,59.0,0.0,0,1,0.0
10128,35897.0,14699.0,422,1176,0.40947711507925455
10280,5114.0,417.0,2,17,0.08154086820492765
10282,2805.0,2027.0,7,11,0.722638146167558
10301,16745.0,0.0,0,6689,0.0
10302,6550.0,0.0,0,4039,0.0
10303,8548.0,0.0,0,4827,0.0
10304,16536.0,0.0,0,8380,0.0
10305,15760.0,0.0,0,9525,0.0
10306,21904.0,0.0,0,15139,0.0
10307,5625.0,0.0,0,3857,0.0
10308,10605.0,0.0,0,7888,0.0
10309,12997.0,0.0,0,8796,0.0
10310,8968.0,0.0,0,5536,0.0
10312,23027.0,0.0,0,17844,0.0
10314,32803.0,0.0,0,19662,0.0
10451,24930.0,13839.0,224,651,0.5551143200962696
