ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT,Borough
11001,87-15 TO 87-45,LITTLE NECK,PKWY,87248748,256TH,ST,FLORAL PARK,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,8823,26,Queens
11004,75-01 TO 75-99,254TH,ST,73017599,255TH,ST,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8443,1,Queens
11004,73-21,260TH,ST,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446,1,Queens
11004,73-35,260TH,ST,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446,1,Queens
11004,82-07 TO 82-63,268TH,ST,81078139,268TH,ST,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8762,1,Queens
11004,260-03,74TH,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8446,1,Queens
11004,263-21,74TH,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8450,1,Queens
11004,259-10,HILLSIDE,AVE,,,,FLORAL PARK,63 MULTIPLE DWELLING A,,,8789,31,Queens
11004,260-17,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8443,1,Queens
11004,260-31,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,8443,1,Queens
11004,264-20,LANGSTON,AVE,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8450,1,Queens
11004,72-75,LITTLE NECK,PKWY,,,,GLEN OAKS,63 MULTIPLE DWELLING A,GARDEN COMPLEX,NON-EVICT COOP/CONDO,8442,1,Queens
11004,73-25,LITTLE NECK,PKWY,,,,GLEN OAKS,63 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,8440,1,Queens
11005,269-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,421-A (1-15),COOP/CONDO PLAN FILE,8489,1,Queens
11005,270-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,,,8489,1,Queens
11005,271-10,GRAND CENTRAL,PKWY,,,,FLORAL PARK,63 MULTIPLE DWELLING A,421-A (1-15),COOP/CONDO PLAN FILE,8489,1,Queens
11101,44-72 TO 44-80,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),51,20,Queens
11101,46-09,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),55,20,Queens
11101,47-02,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,46,130,Queens
11101,47-38,11TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,45,25,Queens
11101,44-44,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,447,1,Queens
11101,44-73,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,78,2,Queens
11101,44-74,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING B,,,52,1,Queens
11101,45-05,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,77,57,Queens
11101,49-02,21ST,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,62,30,Queens
11101,41-15,23RD,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),413,16,Queens
11101,39-23,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395,14,Queens
11101,39-25,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395,12,Queens
11101,39-31,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,395,10,Queens
11101,39-44,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,394,42,Queens
11101,41-21,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),414,121,Queens
11101,41-22,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,413,32,Queens
11101,41-29,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),414,117,Queens
11101,41-42,24TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,413,2,Queens
11101,42-20,24TH,ST,2301,42ND,RD,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (1-15),,425,1,Queens
11101,37-15,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,369,7,Queens
11101,38-10,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,387,22,Queens
11101,39-05,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,397,13,Queens
11101,39-46,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,396,37,Queens
11101,41-32,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,415,36,Queens
11101,42-10,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,421-A (16),,423,25,Queens
11101,42-16 TO 42-26,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,421-A (1-15),423,29,Queens
11101,42-43,27TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,,,431,7502,Queens
11101,37-33,28TH,ST,,,,LONG ISLAND CITY,63 MULTIPLE DWELLING A,GARDEN COMPLEX,,370,1,Queens
