ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2 STSUFX2,,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10001,246,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,722,3
10001,299,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,699,31
10001,301,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,699,32
10001,303 TO 309,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,699,33
10001,440,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,732,73
10001,442,10TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,732,72
10001,311,11TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,675,12
10001,312,11TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,701,62
10001,320,11TH,AVE,545577,W 30TH ST,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,702,7502
10001,800 TO 802,6TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,829,1
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,,NEW YORK,62 MULTIPLE DWELLING B,,,804,36
10001,835 TO 851,6TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,805,7502
10001,855,6TH,AVE,100,W 31ST ST,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,806,7502
10001,883 TO 885,6TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,807,7502
10001,315,7TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,803,7501
10001,371,7TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,HOTEL,,806,76
10001,288,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,774,86
10001,328,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,,,776,4
10001,330,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,,,776,4
10001,368,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,,,778,3
10001,370,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,778,75
10001,402,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,780,1
10001,404,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,780,2
10001,481,8TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING B,HOTEL,,758,37
10001,235,9TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,722,40
10001,237,9TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,722,41
10001,239,9TH,AVE,,,,NEW YORK,62 MULTIPLE DWELLING A,,,722,42
